,ConstituentID,DisplayName,Nationality,Gender,BeginDate,EndDate
7,11,Jean (Hans) Arp,French,Male,1886,1966
11,19,Richard Artschwager,American,Male,1923,2013
34,53,Vito Acconci,American,Male,1940,2017
63,96,Anni Albers,American,Female,1899,1994
64,97,Josef Albers,American,Male,1888,1976
71,107,Pierre Alechinsky,Belgian,Male,1927,0
88,132,John Altoon,American,Male,1925,1969
134,203,Karel Appel,Dutch,Male,1921,2006
150,227,François Arnal,French,Male,1924,2012
187,281,Jo Baer,American,Female,1929,0
194,292,Enrico Baj,Italian,Male,1924,2003
231,352,Robert Barry,American,Male,1936,0
241,366,Georg Baselitz,German,Male,1938,0
297,452,Hans Bellmer,German,Male,1902,1975
348,540,Joseph Beuys,German,Male,1921,1986
369,573,Julius Bissier,German,Male,1893,1965
372,580,Ion Bitzan,Romanian,Male,1924,1997
398,630,Alighiero Boetti,Italian,Male,1940,1994
421,670,Lee Bontecou,American,Female,1931,0
429,688,Derek Boshier,British,Male,1937,0
444,710,Louise Bourgeois,American,Female,1911,2010
453,726,Paul Brach,American,Male,1924,2007
466,744,Georges Braque,French,Male,1882,1963
498,795,Marcel Broodthaers,Belgian,Male,1924,1976
500,797,John Brook,American,Male,1924,0
557,884,Alberto Burri,Italian,Male,1915,1995
581,922,Alexander Calder,American,Male,1898,1976
588,934,Luis Camnitzer,Uruguayan,Male,1937,0
647,1025,Enrico Castellani,Italian,Male,1930,0
657,1039,Patrick Caulfield,British,Male,1936,2005
669,1055,Marc Chagall,French,Male,1887,1985
718,1133,Larry Clark,American,Male,1943,0
740,1172,Bernard Cohen,British,Male,1933,0
742,1175,Mark Cohen,American,Male,1943,0
852,1349,Allan D'Arcangelo,American,Male,1930,1998
911,1447,Nicolas de Staël,French,Male,1914,1955
965,1533,Jan Dibbets,Dutch,Male,1941,0
969,1539,Richard Diebenkorn,American,Male,1922,1993
975,1547,Jim Dine,American,Male,1935,0
1004,1587,Piero Dorazio,Italian,Male,1927,2005
1009,1600,Edward Douglas,American,Male,1943,0
1032,1633,Jean Dubuffet,French,Male,1901,1985
1105,1752,Max Ernst,French,Male,1891,1976
1108,1757,M. C. Escher,Dutch,Male,1898,1972
1154,1832,Lyonel Feininger,American,Male,1871,1956
1173,1859,León Ferrari,Argentine,Male,1920,2013
1207,1913,Adolf Richard Fleischmann,German,Male,1892,1969
1239,1965,Sam Francis,American,Male,1923,1994
1245,1973,Robert Frank,American,Male,1924,2019
1246,1974,Helen Frankenthaler,American,Female,1928,2011
1257,1993,Lucian Freud,British,Male,1922,2011
1357,2141,Alberto Giacometti,Swiss,Male,1901,1966
1427,2242,Robert Goodnough,American,Male,1917,2010
1450,2284,John D. Graham,American,Male,1888,1961
1505,2373,Robert Grosvenor,American,Male,1937,0
1507,2375,Jan Groth,Norwegian,Male,1938,0
1519,2395,José Guerrero,American,Male,1914,1991
1530,2419,Philip Guston,American,Male,1913,1980
1537,2429,Hans Haacke,German,Male,1936,0
1569,2470,Philippe Halsman,American,Male,1906,1979
1576,2481,Richard Hamilton,British,Male,1922,2011
1580,2486,David Hammons,American,Male,1943,0
1611,2525,Hans Hartung,French,Male,1904,1989
1669,2623,Eva Hesse,American,Female,1936,1970
1673,2627,Anton Heyboer,Dutch,Male,1924,0
1677,2631,Sheila Hicks,American,Female,1934,0
1753,2742,John Hoyland,British,Male,1934,2011
1758,2749,Douglas Huebler,American,Male,1924,1997
1802,2812,Robert Indiana,American,Male,1928,2018
1875,2923,Jasper Johns,American,Male,1930,0
1880,2931,Allen Jones,British,Male,1937,0
1882,2933,Harold Jones,American,Male,1940,0
1884,2935,John Paul Jones,American,Male,1924,1999
1890,2943,Asger Jorn,Danish,Male,1914,1973
1894,2948,Donald Judd,American,Male,1928,1994
1942,3030,On Kawara,Japanese,Male,1933,0
1953,3048,Ellsworth Kelly,American,Male,1923,2015
1954,3049,James Kelly,American,Male,1913,0
2011,3137,Yves Klein,French,Male,1928,1962
2053,3213,Willem de Kooning,American,Male,1904,1997
2065,3230,Jannis Kounellis,Greek,Male,1936,2017
2072,3240,Lee Krasner,American,Female,1908,1984
2092,3270,Nicholas Krushenick,American,Male,1929,1999
2107,3296,Yasuo Kuniyoshi,American,Male,1889,1953
2141,3348,Jennett Lam,American,Female,1911,1983
2142,3349,Wifredo Lam,Cuban,Male,1902,1982
2144,3351,Jacqueline Lamba,French,Female,1910,1993
2146,3354,Mark Lancaster,British,Male,1938,0
2159,3373,Dorothea Lange,American,Female,1895,1965
2250,3528,Sol LeWitt,American,Male,1928,2007
2255,3537,Alexander Liberman,American,Male,1912,1999
2259,3542,Roy Lichtenstein,American,Male,1923,1997
2278,3576,Frank Lobdell,American,Male,1921,0
2287,3591,Richard Long,British,Male,1945,0
2333,3669,Heinz Mack,German,Male,1931,0
2368,3720,Alfred Manessier,French,Male,1911,1993
2371,3724,Sylvia Plimack Mangold,American,Female,1938,0
2382,3741,Piero Manzoni,Italian,Male,1933,1963
2388,3749,Conrad Marca-Relli,American,Male,1913,2000
2391,3758,Brice Marden,American,Male,1938,0
2401,3772,Marino Marini,Italian,Male,1901,1980
2412,3787,Agnes Martin,American,Female,1912,2004
2424,3805,Aldemir Martins,Brazilian,Male,1922,2006
2436,3821,André Masson,French,Male,1896,1987
2442,3829,Georges Mathieu,French,Male,1921,2012
2444,3832,Henri Matisse,French,Male,1869,1954
2451,3842,Roberto Matta,Chilean,Male,1911,2002
2461,3858,Almir Mavignier,Brazilian,Male,1925,0
2462,3859,Peter Max,American,Male,1937,0
2481,3888,John McLaughlin,American,Male,1898,1976
2592,4071,Henry Moore,British,Male,1898,1986
2613,4108,Robert Morris,American,Male,1931,2018
2614,4109,Wright Morris,American,Male,1910,1998
2627,4127,Sadamasa Motonaga,Japanese,Male,1922,2011
2652,4163,Bruno Munari,Italian,Male,1907,1998
2696,4243,Bruce Nauman,American,Male,1941,0
2697,4245,Ernst Wilhelm Nay,German,Male,1902,1968
2723,4285,Barnett Newman,American,Male,1905,1970
2750,4324,Isamu Noguchi,American,Male,1904,1988
2797,4397,Claes Oldenburg,American,Male,1929,2022
2811,4415,Dennis Oppenheim,American,Male,1938,2011
2846,4474,Blinky Palermo,German,Male,1943,1977
2868,4503,Raymond Parker,American,Male,1922,1990
2940,4609,Pablo Picasso,Spanish,Male,1881,1973
2946,4617,Otto Piene,German,Male,1928,2014
2983,4675,Jackson Pollock,American,Male,1912,1956
3010,4716,Richard Pousette-Dart,American,Male,1916,1992
3022,4734,Ken Price,American,Male,1935,2012
3030,4742,Antoine Prinner,French,Male,1902,1983
3083,4823,Robert Rauschenberg,American,Male,1925,2008
3103,4856,Ad Reinhardt,American,Male,1913,1967
3116,4873,Milton Resnick,American,Male,1917,2004
3127,4894,Barbara Chase-Riboud,American,Female,1939,0
3153,4929,Bridget Riley,British,Female,1931,0
3205,5021,James Rosenquist,American,Male,1933,2017
3220,5047,Mark Rothko,American,Male,1903,1970
3233,5068,Richards Ruben,American,Male,1925,1998
3245,5086,Edward Ruscha,American,Male,1937,0
3249,5094,Mario Russo,Italian,Male,1925,0
3253,5098,Robert Ryman,American,Male,1930,2019
3276,5136,Roberto Sambonet,Italian,Male,1924,1995
3301,5178,Peter Saul,American,Male,1934,0
3319,5202,Louis Schanker,American,Male,1903,1981
3354,5247,Gérard Schneider,French,Male,1896,1986
3366,5268,Karl Schrag,American,Male,1912,1995
3433,5366,Ben Shahn,American,Male,1898,1969
3492,5456,Aaron Siskind,American,Male,1903,1991
3508,5480,David Smith,American,Male,1906,1965
3509,5481,Gordon A. Smith,Canadian,Male,1919,0
3512,5485,Keith Smith,American,Male,1938,0
3519,5493,Richard Smith,British,Male,1931,2016
3522,5496,W. Eugene Smith,American,Male,1918,1978
3539,5520,Frederick Sommer,American,Male,1905,1999
3605,5627,Saul Steinberg,American,Male,1914,1999
3616,5640,Frank Stella,American,Male,1936,0
3648,5683,Myron Stout,American,Male,1908,1987
3709,5785,Jiro Takamatsu,Japanese,Male,1936,1998
3717,5799,Atsuko Tanaka,Japanese,Female,1932,2005
3770,5889,Mark Tobey,American,Male,1890,1976
3807,5945,Anne Truitt,American,Female,1921,2004
3831,5983,Richard Tuttle,American,Male,1941,0
3834,5988,Cy Twombly,American,Male,1928,2011
3839,5997,Raoul Ubac,Belgian,Male,1910,1985
3939,6147,Esteban Vicente,American,Male,1903,2001
3950,6165,Jacques Villon,French,Male,1875,1963
3983,6220,John Walker,British,Male,1939,0
3985,6222,Todd Walker,American,Male,1917,1998
3999,6246,Andy Warhol,American,Male,1928,1987
4025,6287,Dan Weiner,American,Male,1919,1959
4026,6288,Lawrence Weiner,American,Male,1942,2021
4050,6327,Brett Weston,American,Male,1911,1993
4051,6329,Edward Weston,American,Male,1886,1958
4087,6386,Christopher Wilmarth,American,Male,1943,1987
4166,6502,Tadanori Yokoo,Japanese,Male,1936,0
4174,6511,Hideo Yoshihara,Japanese,Male,1931,2007
4184,6526,Adja Yunkers,American,Male,1900,1983
4224,6586,Larry Zox,American,Male,1936,2006
4245,6618,Robert Andrew Parker,American,Male,1927,0
4754,7694,Jay DeFeo,American,Female,1929,1989
4881,7961,Mira Schendel,Brazilian,Female,1919,1988
5108,8474,Willys de Castro,Brazilian,Male,1926,1988
5338,18539,Hannah Wilke,American,Female,1940,1993
5374,22630,Marvin E. Newman,American,Male,1927,0
5783,27445,Lygia Clark,Brazilian,Female,1920,1988
6285,32825,Nalini Malani,Indian,Female,1946,0
6412,36471,Alison Knowles,American,Female,1933,0
6468,37083,Vera Molnar,French,Female,1924,0
6833,42909,Bill Bollinger,American,,1939,1988
7169,49363,Herman Howard,American,Male,1942,1980
7174,49368,Shawn W. Walker,American,Male,1940,0
7177,49371,Ray Francis,American,Male,1937,2006
7179,49373,David Carter,American,Male,1948,0
7378,131723,Barbara Jones-Hogu,American,Female,1938,2017
7450,134233,Bob Clark,American,Male,0,0
