,ObjectID,Title,ConstituentID,Artist,Date,Classification,Department,style,genre,floor,room
0,2613,Tapestry,96,Anni Albers,1948,Design,Architecture & Design,Abstract Art,abstract,4th floor,409
1,33212,Untitled,4716,Richard Pousette-Dart,1946,Drawing,Drawings & Prints,Abstract Art,abstract,4th floor,420
2,33292,Untitled,4716,Richard Pousette-Dart,1948,Drawing,Drawings & Prints,Abstract Art,abstract,4th floor,419
3,35078,Untitled,3805,Aldemir Martins,1961,Drawing,Drawings & Prints,Abstract Art,abstract,4th floor,408
4,37020,Collage,4856,Ad Reinhardt,1940,Drawing,Drawings & Prints,Abstract Art,abstract,4th floor,404
5,61001,The Big I,922,Alexander Calder,1944,Print,Drawings & Prints,Abstract Art,abstract,4th floor,406
6,70720,Red Meander,96,Anni Albers,1969,Print,Drawings & Prints,Abstract Art,abstract,4th floor,401
7,75353,Untitled,3888,John McLaughlin,1962,Print,Drawings & Prints,Abstract Art,abstract,4th floor,404
8,75773,Untitled,3888,John McLaughlin,1963,Print,Drawings & Prints,Abstract Art,abstract,4th floor,415
9,75800,Untitled,3888,John McLaughlin,1963,Print,Drawings & Prints,Abstract Art,abstract,4th floor,404
10,75803,Untitled,3888,John McLaughlin,1963,Print,Drawings & Prints,Abstract Art,abstract,4th floor,418
11,75806,Untitled,3888,John McLaughlin,1963,Print,Drawings & Prints,Abstract Art,abstract,4th floor,410
12,75812,Untitled,3888,John McLaughlin,1963,Print,Drawings & Prints,Abstract Art,abstract,4th floor,412
13,75815,Untitled,3888,John McLaughlin,1963,Print,Drawings & Prints,Abstract Art,abstract,4th floor,412
14,75827,Untitled,3888,John McLaughlin,1963,Print,Drawings & Prints,Abstract Art,abstract,4th floor,402
15,75830,Untitled,3888,John McLaughlin,1963,Print,Drawings & Prints,Abstract Art,abstract,4th floor,419
16,75834,Untitled,3888,John McLaughlin,1963,Print,Drawings & Prints,Abstract Art,abstract,4th floor,404
17,409639,Untitled,37083,Vera Molnar,1952,Drawing,Drawings & Prints,Abstract Art,abstract,4th floor,418
18,33262,Untitled,3240,Lee Krasner,1964,Drawing,Drawings & Prints,Abstract Expressionism,abstract,4th floor,407
19,33371,Untitled,1965,Sam Francis,1958,Drawing,Drawings & Prints,Abstract Expressionism,abstract,4th floor,404
20,34224,Untitled,670,Lee Bontecou,1960,Drawing,Drawings & Prints,Abstract Expressionism,abstract,4th floor,407
21,34238,Untitled,670,Lee Bontecou,1961,Drawing,Drawings & Prints,Abstract Expressionism,abstract,4th floor,418
22,34581,Seated Nude,3240,Lee Krasner,1940,Drawing,Drawings & Prints,Abstract Expressionism,abstract,4th floor,404
23,34714,The Blessing,4285,Barnett Newman,1944,Drawing,Drawings & Prints,Abstract Expressionism,abstract,4th floor,416
24,35761,Untitled,670,Lee Bontecou,1970,Drawing,Drawings & Prints,Abstract Expressionism,abstract,4th floor,418
25,37156,Untitled,2419,Philip Guston,1951,Drawing,Drawings & Prints,Abstract Expressionism,abstract,4th floor,415
26,37298,Untitled,4285,Barnett Newman,1946,Drawing,Drawings & Prints,Abstract Expressionism,abstract,4th floor,416
27,37422,Untitled,670,Lee Bontecou,1967,Drawing,Drawings & Prints,Abstract Expressionism,abstract,4th floor,421
28,37640,Untitled,2395,José Guerrero,1960,Drawing,Drawings & Prints,Abstract Expressionism,abstract,4th floor,411
29,38100,Untitled,4285,Barnett Newman,1945,Drawing,Drawings & Prints,Abstract Expressionism,abstract,4th floor,420
30,38354,Untitled,5683,Myron Stout,1950,Drawing,Drawings & Prints,Abstract Expressionism,abstract,4th floor,417
31,47309,Untitled,22630,Marvin E. Newman,1951,Photograph,Photography,Abstract Expressionism,abstract,4th floor,407
32,54834,Untitled,1600,Edward Douglas,1970,Photograph,Photography,Abstract Expressionism,abstract,4th floor,401
33,55207,Untitled,6222,Todd Walker,1970,Photograph,Photography,Abstract Expressionism,abstract,4th floor,404
34,57675,Untitled (Man Tapping Vein),1133,Larry Clark,1970,Photograph,Photography,Abstract Expressionism,abstract,4th floor,408
35,61793,Circle Image,5202,Louis Schanker,1952,Print,Drawings & Prints,Abstract Expressionism,abstract,4th floor,421
36,63439,Composition,5997,Raoul Ubac,1949,Print,Drawings & Prints,Abstract Expressionism,abstract,4th floor,417
37,63597,The White Line,1965,Sam Francis,1960,Print,Drawings & Prints,Abstract Expressionism,abstract,4th floor,404
38,63630,Untitled,5988,Cy Twombly,1952,Print,Drawings & Prints,Abstract Expressionism,abstract,4th floor,413
39,63660,Damn Braces,1965,Sam Francis,1960,Print,Drawings & Prints,Abstract Expressionism,abstract,4th floor,402
40,64248,Untitled,5889,Mark Tobey,1967,Print,Drawings & Prints,Abstract Expressionism,abstract,4th floor,402
41,64956,Untitled,2242,Robert Goodnough,1968,Print,Drawings & Prints,Abstract Expressionism,abstract,4th floor,407
42,65117,Composition,5997,Raoul Ubac,1949,Print,Drawings & Prints,Abstract Expressionism,abstract,4th floor,408
43,66398,Untitled,6147,Esteban Vicente,1965,Print,Drawings & Prints,Abstract Expressionism,abstract,4th floor,410
44,66519,Composition,5997,Raoul Ubac,1950,Print,Drawings & Prints,Abstract Expressionism,abstract,4th floor,420
45,66656,Untitled,1539,Richard Diebenkorn,1970,Print,Drawings & Prints,Abstract Expressionism,abstract,4th floor,406
46,66672,Untitled,1539,Richard Diebenkorn,1970,Print,Drawings & Prints,Abstract Expressionism,abstract,4th floor,415
